key,chars,files,level,words
(root),65597300,29620,0,10306546
int,6249469,2422,1,1011484
int/UK,1108995,499,2,181887
int/UK/Anglia_Mea,1108995,499,3,181887
int/Italia,37735,12,2,5996
int/Italia/Gazeta_Romaneasca,37735,12,3,5996
int/Canada_Quebec,13469,47,2,2327
int/Canada_Quebec/PaginiRomanesti,13469,47,3,2327
int/Germania,2017380,500,2,327753
int/Germania/Germania_Mea,2017380,500,3,327753
int/Spania,1365768,723,2,221529
int/Spania/Ziarul_ZigZag,1365768,723,3,221529
int/Canada_EN,1706122,641,2,271992
int/Canada_EN/Ziarul_ZigZag,1706122,641,3,271992
raioane,11203545,6071,1,1745593
raioane/RepMoldova,11203545,6071,2,1745593
raioane/RepMoldova/Causeni,507705,319,3,78104
raioane/RepMoldova/Causeni/StudioL,507705,319,4,78104
raioane/RepMoldova/Ungheni,2890925,1023,3,440345
raioane/RepMoldova/Ungheni/Unghiul,1910325,608,4,289716
raioane/RepMoldova/Ungheni/Expresul_Ungheni,980600,415,4,150629
raioane/RepMoldova/Sangerei,1562467,773,3,244275
raioane/RepMoldova/Sangerei/Ecoul_Nostru,1562467,773,4,244275
raioane/RepMoldova/Calarasi,1268811,511,3,201628
raioane/RepMoldova/Calarasi/Expresul_Calarasi,1268811,511,4,201628
raioane/RepMoldova/Balti,114070,921,3,17940
raioane/RepMoldova/Balti/ESP,114070,921,4,17940
raioane/RepMoldova/Ialoveni,876780,504,3,136370
raioane/RepMoldova/Ialoveni/Ialoveni_Online,876780,504,4,136370
raioane/RepMoldova/Orhei,812667,512,3,126594
raioane/RepMoldova/Orhei/Radio_Orhei,812667,512,4,126594
raioane/RepMoldova/Cahul,591866,495,3,90059
raioane/RepMoldova/Cahul/ZiuaDeAzi,591866,495,4,90059
raioane/RepMoldova/Criuleni,1681482,509,3,267562
raioane/RepMoldova/Criuleni/Est-Curier,1681482,509,4,267562
raioane/RepMoldova/Soroca,896772,504,3,142716
raioane/RepMoldova/Soroca/Observatorul,896772,504,4,142716
int_istoric,9085042,4144,1,1408871
int_istoric/Ucraina,7329723,3010,2,1138035
int_istoric/Ucraina/Zorile_Bucovinei,3712135,1005,3,585848
int_istoric/Ucraina/BucPress,3617588,2005,3,552187
int_istoric/Serbia,1755319,1134,2,270836
